player_name,total_wins,grand_slam_wins,atp1000_wins,atp500_wins,first_win,last_win
Federer R.,1151,362,200,105,2000-01-03,2021-07-05
Djokovic N.,1072,395,359,94,2004-09-14,2026-07-07
Nadal R.,1007,303,282,120,2003-04-15,2024-07-20
Ferrer D.,677,139,125,106,2002-07-15,2019-05-07
Murray A.,670,195,178,81,2005-06-06,2024-06-18
Gasquet R.,575,112,100,55,2002-04-15,2025-05-26
Berdych T.,575,143,141,67,2003-08-25,2019-08-19
Roddick A.,564,126,37,19,2000-03-23,2012-09-02
Monfils G.,556,127,121,76,2004-10-14,2026-04-05
Cilic M.,550,138,122,94,2006-01-30,2026-06-12
Wawrinka S.,542,153,141,54,2003-07-15,2026-05-18
Verdasco F.,524,110,87,54,2002-07-22,2022-09-28
Zverev A.,513,128,176,115,2014-07-15,2026-07-10
Robredo T.,502,101,51,25,2001-01-01,2017-05-28
Hewitt L.,494,136,14,13,2000-01-03,2016-01-19
Simon G.,477,87,96,52,2005-02-08,2022-11-02
Lopez F.,471,92,76,50,2001-02-12,2023-06-28
Isner J.,465,86,143,56,2007-07-31,2023-08-29
Davydenko N.,458,79,36,37,2000-07-17,2014-05-20
Dimitrov G.,456,98,152,78,2009-02-10,2026-07-14
Youzhny M.,456,96,37,40,2000-06-19,2018-09-19
Tsonga J.W.,428,120,108,42,2004-09-15,2022-02-15
Kohlschreiber P.,425,70,67,57,2003-05-19,2022-01-18
Ferrero J.C.,422,93,12,15,2000-01-10,2012-05-27
Haas T.,417,84,34,18,2000-01-10,2017-06-14
Medvedev D.,412,89,130,98,2016-06-07,2026-07-01
Nishikori K.,407,96,113,100,2007-07-24,2025-05-19
Del Potro J.M.,399,93,91,65,2006-01-30,2019-06-19
Fognini F.,385,68,91,61,2006-07-18,2024-10-02
Ljubicic I.,382,46,27,14,2000-01-10,2012-02-22
Almagro N.,370,62,55,54,2004-04-26,2017-09-19
Rublev A.,361,75,87,106,2015-02-17,2026-07-19
Raonic M.,359,91,124,63,2010-09-28,2024-06-17
Moya C.,356,47,1,1,2000-03-06,2010-03-11
Querrey S.,351,59,56,50,2006-07-17,2022-06-14
Karlovic I.,350,53,38,30,2001-12-31,2021-07-13
Nalbandian D.,348,82,24,12,2001-01-29,2013-03-07
Seppi A.,346,61,44,34,2004-06-08,2022-02-14
Stepanek R.,345,57,37,28,2001-12-31,2017-01-17
Nieminen J.,344,51,22,22,2001-10-22,2015-06-29
Sinner J.,340,98,120,64,2019-04-24,2026-07-12
Tsitsipas S.,339,68,110,100,2017-10-09,2026-07-19
Anderson K.,332,75,84,52,2008-03-04,2023-07-19
Blake J.,331,57,19,7,2001-04-30,2013-08-19
Safin M.,331,79,6,2,2000-02-28,2009-11-09
Fritz T.,321,68,90,47,2015-06-23,2026-07-06
Thiem D.,318,73,68,66,2011-10-25,2024-04-01
Gonzalez F.,317,72,12,10,2000-05-01,2012-02-23
Goffin D.,313,68,90,59,2011-01-04,2025-10-03
Baghdatis M.,311,60,25,44,2004-08-30,2019-07-02
